               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 120,             0.70899,              1.0105,              1.3911,           0.0024545,            0.021576,           0.0031841,          0.00078591,                   0,                   0,                   0,            0.007858,            0.007858,            0.007858
                 121,             0.70826,             0.99501,              1.3715,            0.002205,            0.018182,           0.0031245,          0.00064461,                   0,                   0,                   0,             0.00784,             0.00784,             0.00784
                 122,             0.71008,             0.98116,              1.3684,           0.0040542,            0.025323,           0.0042365,          0.00078165,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 123,              0.7098,              1.0178,              1.3928,           0.0021816,            0.026164,           0.0039512,          0.00064374,                   0,                   0,                   0,            0.007804,            0.007804,            0.007804
                 124,             0.69359,              1.0163,              1.3683,            0.001871,            0.029308,           0.0021262,          0.00059552,                   0,                   0,                   0,            0.007786,            0.007786,            0.007786
                 125,             0.63263,             0.86802,              1.3078,           0.0017372,            0.022764,           0.0020243,           0.0006229,                   0,                   0,                   0,            0.007768,            0.007768,            0.007768
                 126,             0.63756,             0.89617,              1.3051,           0.0014836,            0.016114,           0.0016192,          0.00058445,                   0,                   0,                   0,             0.00775,             0.00775,             0.00775
                 127,             0.62831,             0.89001,              1.3042,           0.0025183,            0.022143,           0.0024476,          0.00049878,                   0,                   0,                   0,            0.007732,            0.007732,            0.007732
                 128,             0.63075,             0.89267,              1.3047,           0.0028003,            0.019634,           0.0032326,          0.00054938,                   0,                   0,                   0,            0.007714,            0.007714,            0.007714
                 129,             0.65178,             0.94204,              1.3248,           0.0031339,            0.022633,           0.0032779,          0.00058444,                   0,                   0,                   0,            0.007696,            0.007696,            0.007696
                 130,             0.61967,             0.85421,              1.2899,           0.0036349,            0.027123,           0.0033868,          0.00064368,                   0,                   0,                   0,            0.007678,            0.007678,            0.007678
                 131,             0.65379,             0.90908,              1.3145,           0.0022603,            0.023165,           0.0026037,            0.000583,                   0,                   0,                   0,             0.00766,             0.00766,             0.00766
                 132,              0.6009,              0.8172,              1.2634,           0.0026891,            0.024538,           0.0025506,          0.00046943,                   0,                   0,                   0,            0.007642,            0.007642,            0.007642
                 133,             0.57566,             0.81083,              1.2421,           0.0017634,            0.019847,           0.0019728,           0.0004623,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                 134,             0.61109,             0.88046,              1.2658,           0.0016118,            0.016972,              0.0017,          0.00043558,                   0,                   0,                   0,            0.007606,            0.007606,            0.007606
                 135,             0.60435,             0.83765,              1.2634,            0.004265,            0.030264,           0.0067833,           0.0011488,                   0,                   0,                   0,            0.007588,            0.007588,            0.007588
                 136,             0.61212,             0.87046,              1.2737,             0.53089,           0.0054479,            0.007287,          0.00099338,                   0,                   0,                   0,             0.00757,             0.00757,             0.00757
                 137,             0.56132,              0.7945,              1.2331,            0.002624,            0.022268,           0.0046641,          0.00072027,                   0,                   0,                   0,            0.007552,            0.007552,            0.007552
                 138,              0.5777,             0.81563,              1.2474,           0.0032696,            0.021411,           0.0045156,          0.00085919,                   0,                   0,                   0,            0.007534,            0.007534,            0.007534
                 139,             0.57026,             0.79149,              1.2325,            0.001811,            0.016568,           0.0034211,          0.00084928,                   0,                   0,                   0,            0.007516,            0.007516,            0.007516
                 140,             0.57263,             0.80327,              1.2315,           0.0016672,             0.01464,           0.0015753,          0.00049846,                   0,                   0,                   0,            0.007498,            0.007498,            0.007498
                 141,             0.54023,             0.76011,              1.2059,            0.004724,            0.017728,           0.0067931,           0.0010879,                   0,                   0,                   0,             0.00748,             0.00748,             0.00748
                 142,               0.514,             0.73622,              1.1946,           0.0014832,             0.01334,           0.0012294,          0.00040294,                   0,                   0,                   0,            0.007462,            0.007462,            0.007462
                 143,             0.55281,             0.75125,              1.2076,           0.0018323,            0.013088,           0.0013709,          0.00044195,                   0,                   0,                   0,            0.007444,            0.007444,            0.007444
                 144,             0.54052,             0.75421,              1.2031,            0.002122,            0.013251,           0.0018048,           0.0005029,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
